acteurs,box_office_url,duree,entrees,genre,realisateur,titre
"Claude Perron,Vincent Deniard",https://www.allocine.fr/film/fichefilm-294092/box-office/,Non valide,175085,Comédie,,Jeff Panacloc - À la poursuite de Jean-Marc
"Bérénice Bejo,Élodie Bouchez,Émilie Caen",https://www.allocine.fr/film/fichefilm-292179/box-office/,104,,Comédie,Melissa Drigeard,Hawaii
"Alban Lenoir,Eric Cantona,Thibault de Montalembert",https://www.allocine.fr/film/fichefilm_gen_cfilm=310531.html,120,,"Action,Policier,Thriller",Morgan S. Dalibert,AKA
"Jessica Chastain,Ralph Fiennes,Matt Smith (XI)",https://www.allocine.fr/film/fichefilm_gen_cfilm=264586.html,117,,Drame,John Michael McDonagh,The Forgiven
"Kevin Hart,Gugu Mbatha-Raw,Sam Worthington",https://www.allocine.fr/film/fichefilm_gen_cfilm=291914.html,104,,"Action,Comédie",F. Gary Gray,En plein vol
"Marion Barbeau,Hofesh Shechter,Denis Podalydès",https://www.allocine.fr/film/fichefilm-287738/box-office/,118,,"Comédie,Comédie dramatique,Drame",Cédric Klapisch,En corps
"Romain Duris,Bérénice Bejo,Grégory Gadebois",https://www.allocine.fr/film/fichefilm-291483/box-office/,112,,"Comédie,Epouvante-horreur",Michel Hazanavicius,Coupez!
"Kenneth Branagh,Robert Pattinson",https://www.allocine.fr/film/fichefilm-251315/box-office/,Non valide,948378,"Action,Science Fiction",,Tenet
"Thuso Mbedu,Lashana Lynch",https://www.allocine.fr/film/fichefilm-263074/box-office/,Non valide,100875,,,The Woman King
"Leah Lewis,Vincent Lacoste",https://www.allocine.fr/film/fichefilm-279115/box-office/,Non valide,426818,,,Élémentaire
"Vincent Lacoste,François Cluzet,Adèle Exarchopoulos",https://www.allocine.fr/film/fichefilm-299391/box-office/,101,,"Comédie,Comédie dramatique,Drame",Thomas Lilti,Un métier sérieux
"Denis Podalydès,Michel Vuillermoz",https://www.allocine.fr/film/fichefilm-301061/box-office/,Non valide,267041,Comédie,,Bernadette
"Frankie Corio,Celia Rowlson-Hall",https://www.allocine.fr/film/fichefilm-303803/box-office/,Non valide,38094,Drame,,Aftersun
"Max Boublil,Arthur Roose",https://www.allocine.fr/film/fichefilm-307852/box-office/,Non valide,3551,"Comédie,Drame",,Double foyer
"Laetitia Dosch,Patience Munchenbach",https://www.allocine.fr/film/fichefilm-288263/box-office/,Non valide,128852,"Drame,Fantastique",,Acide
"Michelle Rodriguez,Regé-Jean Page",https://www.allocine.fr/film/fichefilm-221359/box-office/,Non valide,420168,"Aventure,Fantastique",John Francis Daley,Donjons & Dragons : L'Honneur des voleurs
"Isabelle Huppert,Lambert Wilson",https://www.allocine.fr/film/fichefilm-286972/box-office/,Non valide,38711,,,Une robe pour Mrs. Harris
"Jérôme Commandeur,Laetitia Dosch,Pascale Arbillot",https://www.allocine.fr/film/fichefilm-285935/box-office/,85,,Comédie,Jérôme Commandeur,Irréductible
"Brec Bassinger,Khobe Clarke,Fran Drescher",https://www.allocine.fr/film/fichefilm_gen_cfilm=327091.html,90,,Drame,Linda-Lisa Hayter,"V.C. Andrews, la saga Cutler : Les secrets de l'aube (2ème partie)"
"Bérénice Bejo,Grégory Gadebois",https://www.allocine.fr/film/fichefilm-291483/box-office/,Non valide,100526,"Comédie,Epouvante-horreur",,Coupez!
